CustomerId,CustomerName,dateTime,Amount,discount,Member
1001,Arun,2020-07-15 01:01:53,2465.22,10 %,True
1005,Barath,2020-07-13 12:15:33,8399.34,5 %,True
1003,Charle,2020-07-18 20:10:45,1234.88,3 %,False
1004,Gokul,2020-07-15 11:11:36,1690.00,1 %,True
1005,Messy,2020-07-18 15:11:43,160.00,3 %,True
1006,Gerold,2020-07-08 14:16:53,2546.00,1 %,True
1007,Parker,2020-07-04 17:13:33,3456.00,2 %,False
1008,Thor,2020-07-10 03:30:43,8745.00,5 %,True
1009,Steve,2020-07-22 12:10:43,143.00,2 %,True
1010,Mani,2020-07-27 19:40:23,1865.00,3 %,True
1011,Cooper,2020-07-13 18:10:33,1200.00,1 %,True
1012,Penny,2020-07-28 13:20:33,1693.00,4 %,False
1013,Lenoard,2020-07-22 10:50:33,7600.98,1 %,True
1014,Mohammed,2020-07-12 07:30:33,534.00,2 %,True
1015,Althaf,2020-07-10 05:10:36,2435.00,1 %,True
